Taxon,Subphylum,Class,Order,Family,Genus,Substrate,Color,Growth,Hymenophore,Fresh_texture,Spore_print,Hyphal_system,Clamps,Basidia_septa,Basidia_type,Basidia_shape,Basidia_length,Basidia_width,Sterigmata,Basidiospore_amyloidy,Basidiospore_aspect,Basidiospore_ornamentation,Basidiospore_length,Basidiospore_width,Basidiospore_quotient,Cystidia,Hyphidia,Distinctive_traits
Athelia salicum,Agaricomycotina,Agaricomycetes,Atheliales,Atheliaceae,Athelia,Wood,White,Effused,Even | Merulioid,Pellicular,?,Monomitic,Present,Absent,Terminal,Clavate,[13.7-18.4],[4.6-5.5],4,Inamyloid,[Ellipsoid-Cylindrical],Absent,[5.2-6.2],[2.8-3.6],[1.6-2],Absent | Leptocystidia,Absent,?
Byssocorticium atrovirens,Agaricomycotina,Agaricomycetes,Atheliales,Byssocorticiaceae,Byssocorticium,Deciduous leaves | Wood,Blue,Effused,Even,Byssoid,?,Monomitic,Present,Absent,Terminal,Clavate,[17.7-20.6],[4.0-5.2],4,Inamyloid,[Globose-Broadly ellipsoid],Absent,[3.8-4.4],[3.4-4.0],[1.0-1.2],Absent,Absent | Finger-like,?
Byssocorticium pulchrum,Agaricomycotina,Agaricomycetes,Atheliales,Byssocorticiaceae,Byssocorticium,Wood,Blue,Effused,Even,Byssoid | Pellicular,?,Monomitic,Present,Absent,Terminal,Clavate,[17.6-23.3],[5.1-6.5],4,Inamyloid,[Globose-Subglobose],Absent,[4.9-5.6],[4.7-5.3],[1.0-1.1],Absent,Absent,?
Ceriporia spissa,Agaricomycotina,Agaricomycetes,Polyporales,Irpicaceae,Ceriporia,Wood,Orange,Effused,Poroid,Ceraceous,White,Monomitic,Absent,Absent,Terminal,Clavate | Cylindrical,[10.5-15.5],[4-4.8],4,Inamyloid,[Cylindrical-Narrowly cylindrical],Absent,[4.2-4.9],[1.5-1.8],[2.6-3.1],Absent,Absent,?
Cylindrobasidium evolvens,Agaricomycotina,Agaricomycetes,Agaricales,Physalacriaceae,Cylindrobasidium,Wood,Cream,Orbicular | Effused | Effused-reflexed | Pileate,Even | Tuberculate,Membranaceous,White | Pale cream,Monomitic,Present,Absent,Terminal,Clavate | Cylindrical,[40-50],[5-6],4,Inamyloid,Ellipsoid,Absent,[7.8-9.2],[5.8-6.9],[1.3-1.4],Leptocystidia,Absent,?
Galzinia incrustans,Agaricomycotina,Agaricomycetes,Corticiales,Corticiaceae,Galzinia,Wood,Orange | Peachy | Grey,Effused,Even | Grandinoid,Ceraceous,?,Monomitic,Present,Absent,Terminal,Cylindrical,[17.2-29.5],[3.7-4.5],4,Inamyloid,[Cylindrical-Allantoid],Absent,[5.2-6.0],[1.8-2.2],[2.5-3.1],Absent,Absent,?
Mycoacia uda,Agaricomycotina,Agaricomycetes,Polyporales,Meruliaceae,Meruliaceae,Wood,Yellow | Pale yellow,Effused,Odontioid | Hydnoid,Ceraceous,White,Monomitic,Present,Absent,Terminal,Cylindrical | Subcylindrical | Subclavate | Clavate,?,?,4,Inamyloid,[Cylindrical-Narrowly cylindrical],Absent,[4.8-5.5],[2.5-2.9],[1.8-2.1],Absent | Leptocystidia | Cystidioles,Absent,Hymenophore reacts purple to KOH
Peniophora cinerea,Agaricomycotina,Agaricomycetes,Russulales,Peniophoraceae,Peniphora,Wood,Grey,Orbicular | Effused,Even | Tuberculate,Coriaceous | Membranaceous,?,Monomitic,Present,Absent,Terminal,Cylindrical | Subcylindrical | Clavate,?,?,4,Inamyloid,Narrowly cylindrical,Absent,[6.9-8.2],[3-3.7],[2-2.6],Leptocystidia | Gloeocystidia,Absent,?
Protomerulius minor,Agaricomycotina,Agaricomycetes,Auriculariales,Exidiaceae,Protomerulius,Wood,Whitish | Cream | Ochraceous | Greyish,Effused,Even | Grandinoid | Hydnoid,Ceraceous | Pruinose | Byssoid,White,Dimitic,Present,Present,Terminal,Stalked | Subglobose | Sphaeropedunculate,[9.7-12],[5.9-7.4],[2-4],Inamyloid,[Ellipsoid-Cylindrical],Absent,[6.3-7],[3.9-4.2],[1.5-1.7],Pseudocystidia,Absent,Spiky crystal balls
Punctularia strigosozonata,Agaricomycotina,Agaricomycetes,Corticiales,Punctulariaceae,Punctularia,Wood,Orangish brown | Maroon | Vinaceous,Orbicular | Effused | Effused-reflexed | Dimidiate | Pileate,Even | Tuberculate | Phlebioid | Merulioid,Ceraceous | Coriaceous,Off white | Pale cream,Monomitic,Present,Absent,Terminal,Clavate | Stalked,[40-60],[4.4-5.8],4,Inamyloid,Cylindrical,Absent,[6-6.9],[3.6-4],[1.6-1.8],Absent,Absent,?
Sarcoporia polyspora,Agaricomycotina,Agaricomycetes,Polyporales,Polyporaceae,Sarcoporia,Wood,Whitish | Pale cream | Cream,Effused-reflexed,Poroid,Fleshy,?,Monomitic,Present,Absent,Terminal,Clavate,[9.8-16.3],[4.1-5.4],4,Dextrinoid,[Cylindrical-Narrowly cylindrical],Absent,[5.2-6.1],[2.5-3.1],[1.8-2.3],Absent,Absent,?
Sertulicium granuliferum,Agaricomycotina,Agaricomycetes,Trechisporales,incertae sedis,Sertulicium,Wood,Whitish | Pale cream,Effused,Even | Grandinoid | Papillate,Ceraceous | Membranaceous,?,Monomitic,Present,Absent,Terminal,Clavate,[17.6-20.8],[6.2-7],6,Inamyloid,Narrowly cylindrical,Absent,[6.5-8.1],[2.7-3.1],[2.2-2.8],Absent,Absent,?
Subulicystidium brachysporum,Agaricomycotina,Agaricomycetes,Trechisporales,Hydnodontaceae,Subulicystidium,Wood,White,Effused,Even,Farinaceous | Velvety,?,Monomitic,Present,Absent,Repetitive,Urniform,[10-15],[4.5-5],4,Inamyloid,[Narrowly cylindrical-Allantoid],Absent,[7.5-8.8],[2.5-2.9],[2.7-3.3],Subulicystidia,Absent,?
Tomentella ferruginea,Agaricomycotina,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Wood,Green,Effused,Grandinoid | Papillate,Hypochnoid | Membranaceous,?,Monomitic | Dimitic,Present,Absent,Terminal,Clavate,[35.8-53.9],[6.7-8.3],4,Inamyloid,Subglobose,Present,[6.4-7.1],[5.8-6.5],[1-1.2],Absent,Absent,Basidia cyanescent (greenish blue) in KOH
Trechispora stellulata,Agaricomycotina,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Coniferous needles | Deciduous leaves,White,Effused,Even,Arachnoid | Byssoid,?,Monomitic,Present,Absent,Terminal,Cylindrical,[7.4-9.2],[4.2-5],4,Inamyloid,Ellipsoid,Present,[3-3.6],[1.9-2.6],[1.3-1.7],Absent,Absent,?
Tubulicrinis accedens,Agaricomycotina,Agaricomycetes,Hymenochaetales,Tubulicrinaceae,Tubulicrinis,Wood,Lilac | Grey,Effused,Even,Pruinose | Arachnoid,White,Monomitic | Dimitic,Present,Absent,Terminal,Subclavate,[9-15],[4.3-4.9],4,Inamyloid,[Ellipsoid-Cylindrical],Absent,[3.9-4.6],[2.6-3],[1.4-1.7],Lyocystidia,Absent,?
Vararia investiens,Agaricomycotina,Agaricomycetes,Russulales,Lachnocladiaceae,Vararia,Wood,Yellow,Effused,Even | Tuberculate,Membranaceous | Chalky | Crustaceous,?,Dimitic,Present,Absent,Terminal,Utriform,?,?,4,Inamyloid | Amyloid,Narrowly cylindrical,Absent,[9.6-11.5],[3.6-4.3],[2.4-3],Gloeocystidia,Dichohyphidia,?
Xenasma praeteritum,Agaricomycotina,Agaricomycetes,Xenasmatales,Xenasmataceae,Xenasma,Wood,Blue,Effused,Even,Ceraceous,?,Monomitic,Present,Absent,Pleural,Clavate | Cylindrical,[24-32],[8-9.4],[2-5],Inamyloid | Dextrinoid,Broadly ellipsoid,Present,[7-8],[5.5-6.6],[1.2-1.3],Leptocystidia,Absent,?
Xenasmatella sp. 'sublividus',Agaricomycotina,Agaricomycetes,Xenasmatales,Xenasmataceae,Xenasmatella,Wood,Tannish | Greyish,Effused,Even | Punctate | Granulose,Farinaceous | Chalky,White,Monomitic,Present,Absent,Pleural,Clavate | Cylindrical,[8.3-11.9],[5.2-6.3],4,Inamyloid,[Subglobose-Broadly ellipsoid],Present,[4.2-4.7],[3.5-4.1],[1.1-1.3],Absent,Absent,?